warehouse_id,sku,mean_daily_demand,std_daily_demand,total_units_sold,mean_price,category,cv,consumption_value
S003,P0017,143.0451436388509,107.77586782433052,104566,54.51012311901505,Clothing,0.753,5699905.53
S003,P0018,132.02051983584133,108.30291545553044,96507,54.79538987688098,Electronics,0.82,5288138.69
S003,P0019,142.9876880984952,111.19987489640695,104524,54.95452804377565,Clothing,0.778,5744067.09
S003,P0020,137.55403556771546,108.505985035326,100552,55.59103967168263,Toys,0.789,5589790.22
S004,P0001,138.53625170998632,110.96888240446259,101270,54.69290013679891,Groceries,0.801,5538750.0
S004,P0002,130.44870041039673,103.44434561018655,95358,56.290109439124485,Furniture,0.793,5367712.26
S004,P0003,129.18741450068399,107.45779244176163,94436,54.895294117647055,Groceries,0.832,5184092.0
S004,P0004,131.07250341997263,107.11691958827265,95814,56.54269493844049,Electronics,0.817,5417581.77
S004,P0005,137.22161422708618,107.08327382082236,100309,56.51782489740082,Groceries,0.78,5669246.5
S004,P0006,141.10396716826264,108.43642224442635,103147,52.69305061559508,Groceries,0.768,5435130.09
S004,P0007,130.38166894664843,105.83721355506863,95309,54.06019151846785,Electronics,0.812,5152422.79
S004,P0008,134.5704514363885,106.93720550026958,98371,56.100793433652534,Electronics,0.795,5518691.15
S004,P0009,134.59644322845418,112.50827641246958,98390,55.32694938440493,Furniture,0.836,5443618.55
S004,P0010,137.79480164158687,111.13236104560265,100728,54.69833105335158,Toys,0.807,5509653.49
S004,P0011,139.7387140902873,106.62313027727609,102149,56.35678522571819,Electronics,0.763,5756789.25
S004,P0012,131.77428180574555,103.96000124190255,96327,56.86109439124487,Clothing,0.789,5477258.64
S004,P0013,131.3939808481532,104.83602678309296,96049,54.298139534883724,Groceries,0.798,5215282.0
S004,P0014,142.13953488372093,110.99633319527744,103904,55.50711354309165,Toys,0.781,5767411.13
S004,P0015,137.70725034199725,108.20158350684117,100664,53.92797537619699,Furniture,0.786,5428605.71
S004,P0016,143.33378932968537,107.6979957802064,104777,55.0512585499316,Groceries,0.751,5768105.72
S004,P0017,135.59917920656633,107.62738587880963,99123,54.87198358413132,Clothing,0.794,5439075.63
S004,P0018,128.62243502051984,103.71676257214219,94023,54.595964432284546,Electronics,0.806,5133276.36
S004,P0019,136.52257181942545,110.57376127090852,99798,54.860109439124486,Clothing,0.81,5474929.2
S004,P0020,135.83994528043775,106.71924678831598,99299,54.33715458276334,Toys,0.786,5395625.11
S005,P0001,131.0547195622435,106.90544927111807,95801,53.20894664842681,Groceries,0.816,5097470.3
S005,P0002,134.3187414500684,105.80630230369552,98187,54.5744049247606,Furniture,0.788,5358497.1
S005,P0003,144.55129958960327,111.92577546777223,105667,54.74887824897401,Groceries,0.774,5785149.72
S005,P0004,135.20656634746922,111.78194164252096,98836,55.665622435020516,Electronics,0.827,5501767.46
S005,P0005,141.86456908344732,105.77498469281909,103703,53.966114911080716,Groceries,0.746,5596448.01
S005,P0006,135.25444596443228,107.17878210236412,98871,55.39536251709987,Groceries,0.792,5476994.89
S005,P0007,138.43775649794802,111.87697449345477,101198,54.504678522571815,Electronics,0.808,5515764.46
S005,P0008,133.8700410396717,111.20045243513685,97859,55.26083447332421,Electronics,0.831,5407770.0
S005,P0009,136.19425444596442,107.78041105896416,99558,55.371614227086184,Furniture,0.791,5512687.17
S005,P0010,137.55266757865937,109.45874760751558,100551,55.52404924760602,Toys,0.796,5582998.68
S005,P0011,136.5581395348837,107.5099376041918,99824,57.01518467852257,Electronics,0.787,5691483.8
S005,P0012,134.65389876880985,108.37954260526632,98432,56.713556771545825,Clothing,0.805,5582428.82
S005,P0013,139.32147742818057,107.31240690187924,101844,55.07261285909713,Groceries,0.77,5608815.18
S005,P0014,137.35841313269495,111.1665792869202,100409,56.296443228454166,Toys,0.809,5652669.57
S005,P0015,149.24623803009575,115.67931391279532,109099,56.107701778385774,Furniture,0.775,6121294.16
S005,P0016,139.29001367989056,111.57666150807475,101821,54.21588235294117,Groceries,0.801,5520315.36
S005,P0017,137.28864569083447,108.61727514508995,100358,55.03718194254446,Clothing,0.791,5523421.51
S005,P0018,134.15047879616964,109.7959966790991,98064,55.0003830369357,Electronics,0.818,5393557.56
S005,P0019,135.05335157318743,108.6579963160057,98724,55.97362517099863,Clothing,0.805,5525940.17
S005,P0020,138.6730506155951,111.1407158114971,101370,55.280013679890565,Toys,0.801,5603734.99
