warehouse_id,sku,category,lead_time_days,eoq_framework,eoq_blanket,blanket_rop,framework_rop,naive_stockout_days,optimized_stockout_days,naive_service_level_pct,optimized_service_level_pct,naive_avg_inventory,optimized_avg_inventory
S002,P0003,Groceries,5,664,672,1929,1073.0,0,9,100.0,98.8,1604.0,768.0
S002,P0004,Electronics,13,679,672,1929,2442.0,49,6,93.3,99.2,585.0,1005.0
S002,P0005,Groceries,5,655,672,1929,1046.0,0,5,100.0,99.3,1615.0,725.0
S002,P0006,Groceries,5,670,672,1929,1051.0,0,4,100.0,99.5,1614.0,736.0
S002,P0007,Electronics,13,678,672,1929,2456.0,54,15,92.6,97.9,601.0,1039.0
S002,P0008,Electronics,13,648,672,1929,2308.0,44,6,94.0,99.2,672.0,986.0
S002,P0009,Furniture,17,689,672,1929,3211.0,185,9,74.7,98.8,367.0,1168.0
S002,P0010,Toys,11,671,672,1929,2104.0,14,2,98.1,99.7,809.0,974.0
S002,P0011,Electronics,13,654,672,1929,2406.0,53,7,92.7,99.0,611.0,988.0
S002,P0012,Clothing,9,696,672,1929,1812.0,3,7,99.6,99.0,1029.0,923.0
S002,P0013,Groceries,5,666,672,1929,1060.0,0,5,100.0,99.3,1598.0,737.0
S002,P0014,Toys,11,664,672,1929,2049.0,14,7,98.1,99.0,836.0,927.0
S002,P0015,Furniture,17,659,672,1929,2926.0,135,3,81.5,99.6,402.0,1074.0
S002,P0016,Groceries,5,674,672,1929,1089.0,0,10,100.0,98.6,1587.0,755.0
S002,P0017,Clothing,9,673,672,1929,1715.0,2,7,99.7,99.0,1072.0,883.0
S002,P0018,Electronics,13,686,672,1929,2482.0,51,7,93.0,99.0,586.0,1024.0
S002,P0019,Clothing,9,664,672,1929,1715.0,5,10,99.3,98.6,1100.0,902.0
S002,P0020,Toys,11,680,672,1929,2203.0,21,3,97.1,99.6,743.0,991.0
S003,P0001,Groceries,3,649,672,1929,690.0,0,4,100.0,99.5,1879.0,645.0
S003,P0002,Furniture,15,695,672,1929,2852.0,113,7,84.5,99.0,444.0,1114.0
S003,P0003,Groceries,3,646,672,1929,672.0,0,8,100.0,98.9,1891.0,650.0
S003,P0004,Electronics,11,662,672,1929,2026.0,16,6,97.8,99.2,844.0,924.0
S003,P0005,Groceries,3,695,672,1929,744.0,0,7,100.0,99.0,1831.0,676.0
S003,P0006,Groceries,3,673,672,1929,743.0,0,5,100.0,99.3,1843.0,674.0
S003,P0007,Electronics,11,669,672,1929,2130.0,16,6,97.8,99.2,779.0,966.0
S003,P0008,Electronics,11,671,672,1929,2070.0,14,7,98.1,99.0,829.0,963.0
S003,P0009,Furniture,15,688,672,1929,2823.0,117,6,84.0,99.2,451.0,1102.0
S003,P0010,Toys,9,671,672,1929,1762.0,1,7,99.9,99.0,1056.0,905.0
S003,P0011,Electronics,11,670,672,1929,2117.0,25,8,96.6,98.9,786.0,959.0
S003,P0012,Clothing,7,680,672,1929,1449.0,0,6,100.0,99.2,1311.0,842.0
S003,P0013,Groceries,3,692,672,1929,761.0,0,9,100.0,98.8,1818.0,689.0
S003,P0014,Toys,9,686,672,1929,1851.0,1,7,99.9,99.0,991.0,910.0
S003,P0015,Furniture,15,682,672,1929,2761.0,91,5,87.6,99.3,438.0,1075.0
S003,P0016,Groceries,3,696,672,1929,742.0,0,4,100.0,99.5,1847.0,696.0
S003,P0017,Clothing,7,692,672,1929,1469.0,0,9,100.0,98.8,1265.0,845.0
S003,P0018,Electronics,11,663,672,1929,2041.0,17,12,97.7,98.4,847.0,960.0
S003,P0019,Clothing,7,689,672,1929,1483.0,0,5,100.0,99.3,1271.0,858.0
S003,P0020,Toys,9,672,672,1929,1772.0,3,5,99.6,99.3,1040.0,885.0
S004,P0001,Groceries,6,680,672,1929,1277.0,0,5,100.0,99.3,1453.0,808.0
S004,P0002,Furniture,18,650,672,1929,3068.0,147,12,79.9,98.4,402.0,1108.0
S004,P0003,Groceries,6,655,672,1929,1207.0,0,4,100.0,99.5,1495.0,787.0
S004,P0004,Electronics,14,650,672,1929,2492.0,59,6,91.9,99.2,575.0,1023.0
S004,P0005,Groceries,6,666,672,1929,1253.0,0,9,100.0,98.8,1445.0,789.0
S004,P0006,Groceries,6,699,672,1929,1283.0,0,5,100.0,99.3,1423.0,817.0
S004,P0007,Electronics,14,663,672,1929,2474.0,54,4,92.6,99.5,579.0,1003.0
S004,P0008,Electronics,14,662,672,1929,2540.0,66,4,91.0,99.5,567.0,1021.0
S004,P0009,Furniture,18,666,672,1929,3206.0,172,15,76.5,97.9,404.0,1197.0
S004,P0010,Toys,12,678,672,1929,2285.0,36,6,95.1,99.2,685.0,995.0
S004,P0011,Electronics,14,673,672,1929,2610.0,69,8,90.6,98.9,507.0,1033.0
S004,P0012,Clothing,10,650,672,1929,1857.0,3,7,99.6,99.0,975.0,887.0
S004,P0013,Groceries,6,665,672,1929,1209.0,0,8,100.0,98.9,1475.0,768.0
S004,P0014,Toys,12,684,672,1929,2337.0,42,2,94.3,99.7,639.0,983.0
S004,P0015,Furniture,18,683,672,1929,3232.0,185,7,74.7,99.0,361.0,1144.0
S004,P0016,Groceries,6,689,672,1929,1293.0,0,9,100.0,98.8,1412.0,804.0
S004,P0017,Clothing,10,672,672,1929,1914.0,5,5,99.3,99.3,934.0,919.0
S004,P0018,Electronics,14,656,672,1929,2437.0,53,9,92.7,98.8,609.0,1009.0
S004,P0019,Clothing,10,674,672,1929,1938.0,9,11,98.8,98.5,929.0,931.0
S004,P0020,Toys,12,675,672,1929,2236.0,30,10,95.9,98.6,696.0,984.0
S005,P0001,Groceries,4,670,672,1929,875.0,0,13,100.0,98.2,1744.0,720.0
S005,P0002,Furniture,16,670,672,1929,2843.0,116,10,84.1,98.6,454.0,1090.0
S005,P0003,Groceries,4,694,672,1929,945.0,0,8,100.0,98.9,1700.0,735.0
S005,P0004,Electronics,12,666,672,1929,2257.0,22,4,97.0,99.5,702.0,983.0
S005,P0005,Groceries,4,693,672,1929,914.0,0,7,100.0,99.0,1701.0,720.0
S005,P0006,Groceries,4,668,672,1929,893.0,0,9,100.0,98.8,1727.0,709.0
S005,P0007,Electronics,12,681,672,1929,2297.0,30,3,95.9,99.6,660.0,1005.0
S005,P0008,Electronics,12,665,672,1929,2238.0,28,4,96.2,99.5,727.0,1004.0
S005,P0009,Furniture,16,670,672,1929,2886.0,123,7,83.2,99.0,448.0,1096.0
S005,P0010,Toys,10,672,672,1929,1944.0,7,7,99.0,99.0,923.0,939.0
S005,P0011,Electronics,12,661,672,1929,2250.0,26,8,96.4,98.9,703.0,973.0
S005,P0012,Clothing,8,658,672,1929,1580.0,0,10,100.0,98.6,1194.0,867.0
S005,P0013,Groceries,4,679,672,1929,909.0,0,6,100.0,99.2,1706.0,710.0
S005,P0014,Toys,10,667,672,1929,1951.0,8,11,98.9,98.5,928.0,932.0
S005,P0015,Furniture,16,697,672,1929,3147.0,187,5,74.4,99.3,374.0,1152.0
S005,P0016,Groceries,4,685,672,1929,923.0,0,12,100.0,98.4,1717.0,718.0
S005,P0017,Clothing,8,675,672,1929,1602.0,1,5,99.9,99.3,1174.0,856.0
S005,P0018,Electronics,12,667,672,1929,2234.0,30,5,95.9,99.3,723.0,995.0
S005,P0019,Clothing,8,664,672,1929,1584.0,0,8,100.0,98.9,1196.0,862.0
S005,P0020,Toys,10,677,672,1929,1963.0,8,7,98.9,99.0,903.0,948.0
